2.4166 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.5953 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.2468 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E49279DF70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E497674CA0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2469 	EXP 	window1: mouseVisible = True
10.2470 	EXP 	window1: mouseVisible = False
10.2471 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.2471 	EXP 	window1: recordFrameIntervals = False
10.4131 	EXP 	window1: recordFrameIntervals = True
10.5966 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
10.5967 	EXP 	window1: recordFrameIntervals = False
13.0401 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.6526 	EXP 	Created response = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='response', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.6643 	EXP 	Created thank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating', units='height', win=Window(...), wrapWidth=1)
13.6728 	EXP 	text: autoDraw = True
15.5971 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (17).
16.5618 	EXP 	window1: recordFrameIntervals = False
16.5633 	DATA 	Keypress: space
16.5654 	EXP 	text: autoDraw = False
16.5655 	EXP 	window1: recordFrameIntervals = False
19.5118 	EXP 	response: autoDraw = True
22.4472 	EXP 	window1: recordFrameIntervals = False
22.4481 	DATA 	Keypress: s
22.4497 	EXP 	response: autoDraw = False
22.4499 	EXP 	window1: recordFrameIntervals = False
25.3943 	EXP 	response: autoDraw = True
26.5959 	EXP 	window1: recordFrameIntervals = False
26.5966 	DATA 	Keypress: s
26.5986 	EXP 	response: autoDraw = False
26.5988 	EXP 	window1: recordFrameIntervals = False
29.5439 	EXP 	response: autoDraw = True
30.5291 	EXP 	window1: recordFrameIntervals = False
30.5302 	DATA 	Keypress: s
30.5319 	EXP 	response: autoDraw = False
30.5321 	EXP 	window1: recordFrameIntervals = False
33.4769 	EXP 	response: autoDraw = True
37.5123 	EXP 	window1: recordFrameIntervals = False
37.5132 	DATA 	Keypress: s
37.5148 	EXP 	response: autoDraw = False
37.5150 	EXP 	window1: recordFrameIntervals = False
39.2269 	DATA 	Keypress: d
40.4591 	EXP 	response: autoDraw = True
42.0273 	EXP 	window1: recordFrameIntervals = False
42.0282 	DATA 	Keypress: d
42.0298 	EXP 	response: autoDraw = False
42.0300 	EXP 	window1: recordFrameIntervals = False
44.9749 	EXP 	response: autoDraw = True
47.8608 	EXP 	window1: recordFrameIntervals = False
47.8616 	DATA 	Keypress: d
47.8633 	EXP 	response: autoDraw = False
47.8634 	EXP 	window1: recordFrameIntervals = False
50.8078 	EXP 	response: autoDraw = True
52.2263 	EXP 	window1: recordFrameIntervals = False
52.2270 	DATA 	Keypress: d
52.2291 	EXP 	response: autoDraw = False
52.2292 	EXP 	window1: recordFrameIntervals = False
55.1739 	EXP 	response: autoDraw = True
55.4777 	DATA 	Keypress: d
56.0927 	EXP 	window1: recordFrameIntervals = False
56.0958 	EXP 	response: autoDraw = False
56.0960 	EXP 	window1: recordFrameIntervals = False
59.0399 	EXP 	response: autoDraw = True
60.0254 	EXP 	window1: recordFrameIntervals = False
60.0262 	DATA 	Keypress: d
60.0279 	EXP 	response: autoDraw = False
60.0280 	EXP 	window1: recordFrameIntervals = False
62.9727 	EXP 	response: autoDraw = True
64.0921 	EXP 	window1: recordFrameIntervals = False
64.0930 	DATA 	Keypress: s
64.0946 	EXP 	response: autoDraw = False
64.0947 	EXP 	window1: recordFrameIntervals = False
66.3404 	DATA 	Keypress: s
66.8238 	DATA 	Keypress: s
67.0392 	EXP 	response: autoDraw = True
67.9912 	EXP 	window1: recordFrameIntervals = False
67.9922 	DATA 	Keypress: s
67.9939 	EXP 	response: autoDraw = False
67.9940 	EXP 	window1: recordFrameIntervals = False
70.9383 	EXP 	response: autoDraw = True
71.8739 	EXP 	window1: recordFrameIntervals = False
71.8748 	DATA 	Keypress: d
71.8768 	EXP 	response: autoDraw = False
71.8769 	EXP 	window1: recordFrameIntervals = False
74.8214 	EXP 	response: autoDraw = True
86.3222 	EXP 	window1: recordFrameIntervals = False
86.3229 	DATA 	Keypress: d
86.3247 	EXP 	response: autoDraw = False
86.3248 	EXP 	window1: recordFrameIntervals = False
89.2693 	EXP 	response: autoDraw = True
90.4221 	EXP 	window1: recordFrameIntervals = False
90.4232 	DATA 	Keypress: d
90.4248 	EXP 	response: autoDraw = False
90.4249 	EXP 	window1: recordFrameIntervals = False
93.3688 	EXP 	response: autoDraw = True
94.4874 	EXP 	window1: recordFrameIntervals = False
94.4883 	DATA 	Keypress: d
94.4899 	EXP 	response: autoDraw = False
94.4900 	EXP 	window1: recordFrameIntervals = False
97.4353 	EXP 	response: autoDraw = True
98.5211 	EXP 	window1: recordFrameIntervals = False
98.5223 	DATA 	Keypress: d
98.5241 	EXP 	response: autoDraw = False
98.5242 	EXP 	window1: recordFrameIntervals = False
100.4860 	DATA 	Keypress: escape
101.1677 	EXP 	window1: mouseVisible = True
