stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,38.40516840002965,38.40516840002965,space,173.4923526000348,,,,,,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
0,40,300.0,,,,,0.636051999987103,215.49528400000418,215.49528400000418,0,8.540637099999003,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
1,40,340.0,,,,,0.6007892999914475,227.59385649999604,227.59385649999604,0,5.179299200011883,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
2,40,380.0,,,,,0.6013231999822892,236.32638260000385,236.32638260000385,1,2.9686770999687724,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
3,40,340.0,,,,,0.600913500005845,242.8589577000239,242.8589577000239,1,4.2903342000208795,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
4,40,340.0,,,,,0.6005799000267871,250.70759210002143,250.70759210002143,1,3.617330100038089,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
5,40,300.0,,,,,0.6010185000486672,257.8902242000331,257.8902242000331,1,3.3976186999934725,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
6,40,300.0,,,,,0.6007719999761321,264.8387555000372,264.8387555000372,0,82.91449239995563,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
7,40,340.0,,,,,0.6019767000107095,351.31170449999627,351.31170449999627,0,3.4563391999690793,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
8,40,380.0,,,,,0.6013529000338167,358.3273302000016,358.3273302000016,1,7.192187900014687,826353,001,2023-02-16_14h10.18.373,Adaptive_staircase_Diar,2022.2.5,60.087198541965115,
