12.1409 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
106.9784 	EXP 	response: autoDraw = False
106.9785 	EXP 	window1: recordFrameIntervals = False
109.9233 	EXP 	response: autoDraw = True
111.0576 	EXP 	window1: recordFrameIntervals = False
111.0584 	DATA 	Keypress: s
111.0600 	EXP 	response: autoDraw = False
111.0601 	EXP 	window1: recordFrameIntervals = False
114.0055 	EXP 	response: autoDraw = True
116.0415 	EXP 	window1: recordFrameIntervals = False
116.0423 	DATA 	Keypress: d
116.0440 	EXP 	response: autoDraw = False
116.0442 	EXP 	window1: recordFrameIntervals = False
118.9882 	EXP 	response: autoDraw = True
120.0908 	EXP 	window1: recordFrameIntervals = False
120.0916 	DATA 	Keypress: d
120.0937 	EXP 	response: autoDraw = False
120.0938 	EXP 	window1: recordFrameIntervals = False
123.0380 	EXP 	response: autoDraw = True
124.1723 	EXP 	window1: recordFrameIntervals = False
124.1733 	DATA 	Keypress: s
124.1749 	EXP 	response: autoDraw = False
124.1751 	EXP 	window1: recordFrameIntervals = False
127.1204 	EXP 	response: autoDraw = True
128.3226 	EXP 	window1: recordFrameIntervals = False
128.3234 	DATA 	Keypress: s
128.3251 	EXP 	response: autoDraw = False
128.3252 	EXP 	window1: recordFrameIntervals = False
131.2704 	EXP 	response: autoDraw = True
132.3731 	EXP 	window1: recordFrameIntervals = False
132.3739 	DATA 	Keypress: d
132.3757 	EXP 	response: autoDraw = False
132.3758 	EXP 	window1: recordFrameIntervals = False
135.3196 	EXP 	response: autoDraw = True
136.3379 	EXP 	window1: recordFrameIntervals = False
136.3389 	DATA 	Keypress: s
136.3407 	EXP 	response: autoDraw = False
136.3408 	EXP 	window1: recordFrameIntervals = False
139.2856 	EXP 	response: autoDraw = True
140.6045 	EXP 	window1: recordFrameIntervals = False
140.6053 	DATA 	Keypress: s
140.6070 	EXP 	response: autoDraw = False
140.6072 	EXP 	window1: recordFrameIntervals = False
143.5517 	EXP 	response: autoDraw = True
144.8037 	EXP 	window1: recordFrameIntervals = False
144.8047 	DATA 	Keypress: s
144.8065 	EXP 	response: autoDraw = False
144.8066 	EXP 	window1: recordFrameIntervals = False
147.7513 	EXP 	response: autoDraw = True
149.1035 	EXP 	window1: recordFrameIntervals = False
149.1044 	DATA 	Keypress: s
149.1061 	EXP 	response: autoDraw = False
149.1062 	EXP 	window1: recordFrameIntervals = False
152.0509 	EXP 	response: autoDraw = True
153.1534 	EXP 	window1: recordFrameIntervals = False
153.1542 	DATA 	Keypress: s
153.1561 	EXP 	response: autoDraw = False
153.1562 	EXP 	window1: recordFrameIntervals = False
156.1003 	EXP 	response: autoDraw = True
157.7858 	EXP 	window1: recordFrameIntervals = False
157.7865 	DATA 	Keypress: s
157.7880 	EXP 	response: autoDraw = False
157.7881 	EXP 	window1: recordFrameIntervals = False
160.7329 	EXP 	response: autoDraw = True
162.3019 	EXP 	window1: recordFrameIntervals = False
162.3026 	DATA 	Keypress: s
162.3042 	EXP 	response: autoDraw = False
162.3043 	EXP 	window1: recordFrameIntervals = False
165.2494 	EXP 	response: autoDraw = True
166.7020 	EXP 	window1: recordFrameIntervals = False
166.7028 	DATA 	Keypress: s
166.7044 	EXP 	response: autoDraw = False
166.7045 	EXP 	window1: recordFrameIntervals = False
169.6488 	EXP 	response: autoDraw = True
171.1340 	EXP 	window1: recordFrameIntervals = False
171.1348 	DATA 	Keypress: s
171.1365 	EXP 	response: autoDraw = False
171.1367 	EXP 	window1: recordFrameIntervals = False
174.0812 	EXP 	response: autoDraw = True
175.6665 	EXP 	window1: recordFrameIntervals = False
175.6674 	DATA 	Keypress: s
175.6691 	EXP 	response: autoDraw = False
175.6692 	EXP 	window1: recordFrameIntervals = False
178.6143 	EXP 	response: autoDraw = True
180.0335 	EXP 	window1: recordFrameIntervals = False
180.0344 	DATA 	Keypress: s
180.0362 	EXP 	response: autoDraw = False
180.0363 	EXP 	window1: recordFrameIntervals = False
182.9799 	EXP 	response: autoDraw = True
184.7659 	EXP 	window1: recordFrameIntervals = False
184.7667 	DATA 	Keypress: s
184.7685 	EXP 	response: autoDraw = False
184.7686 	EXP 	window1: recordFrameIntervals = False
187.7125 	EXP 	response: autoDraw = True
188.8823 	EXP 	window1: recordFrameIntervals = False
188.8832 	DATA 	Keypress: s
188.8851 	EXP 	response: autoDraw = False
188.8852 	EXP 	window1: recordFrameIntervals = False
191.8293 	EXP 	response: autoDraw = True
192.9467 	EXP 	window1: recordFrameIntervals = False
192.9475 	DATA 	Keypress: s
192.9493 	EXP 	response: autoDraw = False
192.9495 	EXP 	window1: recordFrameIntervals = False
195.8951 	EXP 	response: autoDraw = True
197.0971 	EXP 	window1: recordFrameIntervals = False
197.0979 	DATA 	Keypress: s
197.0997 	EXP 	response: autoDraw = False
197.0999 	EXP 	window1: recordFrameIntervals = False
200.0446 	EXP 	response: autoDraw = True
201.1635 	EXP 	window1: recordFrameIntervals = False
201.1645 	DATA 	Keypress: d
201.1662 	EXP 	response: autoDraw = False
201.1663 	EXP 	window1: recordFrameIntervals = False
204.1107 	EXP 	response: autoDraw = True
205.5130 	EXP 	window1: recordFrameIntervals = False
205.5138 	DATA 	Keypress: d
205.5155 	EXP 	response: autoDraw = False
205.5157 	EXP 	window1: recordFrameIntervals = False
208.4603 	EXP 	response: autoDraw = True
209.4127 	EXP 	window1: recordFrameIntervals = False
209.4135 	DATA 	Keypress: d
209.4155 	EXP 	response: autoDraw = False
209.4156 	EXP 	window1: recordFrameIntervals = False
212.3597 	EXP 	response: autoDraw = True
213.5787 	EXP 	window1: recordFrameIntervals = False
213.5798 	DATA 	Keypress: s
213.5815 	EXP 	response: autoDraw = False
213.5816 	EXP 	window1: recordFrameIntervals = False
216.5256 	EXP 	response: autoDraw = True
218.1277 	EXP 	window1: recordFrameIntervals = False
218.1286 	DATA 	Keypress: s
218.1304 	EXP 	response: autoDraw = False
218.1305 	EXP 	window1: recordFrameIntervals = False
221.0752 	EXP 	response: autoDraw = True
222.2273 	EXP 	window1: recordFrameIntervals = False
222.2282 	DATA 	Keypress: s
222.2298 	EXP 	response: autoDraw = False
222.2300 	EXP 	window1: recordFrameIntervals = False
225.1747 	EXP 	response: autoDraw = True
226.1428 	EXP 	window1: recordFrameIntervals = False
226.1436 	DATA 	Keypress: s
226.1453 	EXP 	response: autoDraw = False
226.1455 	EXP 	window1: recordFrameIntervals = False
229.0909 	EXP 	response: autoDraw = True
230.3099 	EXP 	window1: recordFrameIntervals = False
230.3107 	DATA 	Keypress: s
230.3122 	EXP 	response: autoDraw = False
230.3123 	EXP 	window1: recordFrameIntervals = False
233.2573 	EXP 	response: autoDraw = True
234.2932 	EXP 	window1: recordFrameIntervals = False
234.2940 	DATA 	Keypress: s
234.2958 	EXP 	response: autoDraw = False
234.2960 	EXP 	window1: recordFrameIntervals = False
237.2399 	EXP 	response: autoDraw = True
238.2587 	EXP 	window1: recordFrameIntervals = False
238.2597 	DATA 	Keypress: s
238.2614 	EXP 	response: autoDraw = False
238.2615 	EXP 	window1: recordFrameIntervals = False
241.2058 	EXP 	response: autoDraw = True
242.1912 	EXP 	window1: recordFrameIntervals = False
242.1920 	DATA 	Keypress: d
242.1938 	EXP 	response: autoDraw = False
242.1939 	EXP 	window1: recordFrameIntervals = False
245.1392 	EXP 	response: autoDraw = True
246.2746 	EXP 	window1: recordFrameIntervals = False
246.2754 	DATA 	Keypress: d
246.2772 	EXP 	response: autoDraw = False
246.2774 	EXP 	window1: recordFrameIntervals = False
249.2218 	EXP 	response: autoDraw = True
250.2416 	EXP 	window1: recordFrameIntervals = False
250.2424 	DATA 	Keypress: d
250.2441 	EXP 	response: autoDraw = False
250.2443 	EXP 	window1: recordFrameIntervals = False
253.1878 	EXP 	response: autoDraw = True
254.1572 	EXP 	window1: recordFrameIntervals = False
254.1580 	DATA 	Keypress: s
254.1598 	EXP 	response: autoDraw = False
254.1599 	EXP 	window1: recordFrameIntervals = False
257.1040 	EXP 	response: autoDraw = True
258.8392 	EXP 	window1: recordFrameIntervals = False
258.8621 	DATA 	Keypress: s
258.8637 	EXP 	response: autoDraw = False
258.8638 	EXP 	window1: recordFrameIntervals = False
261.7865 	EXP 	response: autoDraw = True
263.2390 	EXP 	window1: recordFrameIntervals = False
263.2400 	DATA 	Keypress: s
263.2417 	EXP 	response: autoDraw = False
263.2418 	EXP 	window1: recordFrameIntervals = False
266.1860 	EXP 	response: autoDraw = True
266.9723 	EXP 	window1: recordFrameIntervals = False
266.9732 	DATA 	Keypress: d
266.9749 	EXP 	response: autoDraw = False
266.9750 	EXP 	window1: recordFrameIntervals = False
269.9189 	EXP 	response: autoDraw = True
270.6543 	EXP 	window1: recordFrameIntervals = False
270.6551 	DATA 	Keypress: s
270.6569 	EXP 	response: autoDraw = False
270.6570 	EXP 	window1: recordFrameIntervals = False
273.4526 	DATA 	Keypress: d
273.6018 	EXP 	response: autoDraw = True
274.7373 	EXP 	window1: recordFrameIntervals = False
274.7383 	DATA 	Keypress: d
274.7400 	EXP 	response: autoDraw = False
274.7402 	EXP 	window1: recordFrameIntervals = False
277.6843 	EXP 	response: autoDraw = True
279.3199 	EXP 	window1: recordFrameIntervals = False
279.3210 	DATA 	Keypress: s
279.3229 	EXP 	response: autoDraw = False
279.3234 	EXP 	window1: recordFrameIntervals = False
282.2672 	EXP 	response: autoDraw = True
283.4357 	EXP 	window1: recordFrameIntervals = False
283.4365 	DATA 	Keypress: s
283.4383 	EXP 	response: autoDraw = False
283.4384 	EXP 	window1: recordFrameIntervals = False
286.3839 	EXP 	response: autoDraw = True
288.2864 	EXP 	window1: recordFrameIntervals = False
288.2873 	DATA 	Keypress: s
288.2890 	EXP 	response: autoDraw = False
288.2891 	EXP 	window1: recordFrameIntervals = False
291.2330 	EXP 	response: autoDraw = True
292.3016 	EXP 	window1: recordFrameIntervals = False
292.3024 	DATA 	Keypress: d
292.3042 	EXP 	response: autoDraw = False
292.3043 	EXP 	window1: recordFrameIntervals = False
295.2490 	EXP 	response: autoDraw = True
296.2013 	EXP 	window1: recordFrameIntervals = False
296.2022 	DATA 	Keypress: d
296.2039 	EXP 	response: autoDraw = False
296.2040 	EXP 	window1: recordFrameIntervals = False
299.1490 	EXP 	response: autoDraw = True
300.0672 	EXP 	window1: recordFrameIntervals = False
300.0679 	DATA 	Keypress: d
300.0695 	EXP 	response: autoDraw = False
300.0696 	EXP 	window1: recordFrameIntervals = False
303.0147 	EXP 	response: autoDraw = True
304.0669 	EXP 	window1: recordFrameIntervals = False
304.0678 	DATA 	Keypress: s
304.0696 	EXP 	response: autoDraw = False
304.0697 	EXP 	window1: recordFrameIntervals = False
307.0144 	EXP 	response: autoDraw = True
307.9671 	EXP 	window1: recordFrameIntervals = False
307.9679 	DATA 	Keypress: d
307.9696 	EXP 	response: autoDraw = False
307.9698 	EXP 	window1: recordFrameIntervals = False
310.9140 	EXP 	response: autoDraw = True
311.8833 	EXP 	window1: recordFrameIntervals = False
311.8841 	DATA 	Keypress: s
311.8859 	EXP 	response: autoDraw = False
311.8860 	EXP 	window1: recordFrameIntervals = False
314.8304 	EXP 	response: autoDraw = True
315.6819 	EXP 	window1: recordFrameIntervals = False
315.6828 	DATA 	Keypress: s
315.6845 	EXP 	response: autoDraw = False
315.6846 	EXP 	window1: recordFrameIntervals = False
318.5135 	DATA 	Keypress: d
318.6293 	EXP 	response: autoDraw = True
319.8321 	EXP 	window1: recordFrameIntervals = False
319.8330 	DATA 	Keypress: d
319.8346 	EXP 	response: autoDraw = False
319.8347 	EXP 	window1: recordFrameIntervals = False
322.7791 	EXP 	response: autoDraw = True
323.3967 	DATA 	Keypress: escape
324.8718 	EXP 	window1: mouseVisible = True
