12.1409 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
31.7790 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
34.7999 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001392B14DFA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001392E4A6C10>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
34.8000 	EXP 	window1: mouseVisible = True
34.8001 	EXP 	window1: mouseVisible = False
34.8001 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
34.8002 	EXP 	window1: recordFrameIntervals = False
34.9663 	EXP 	window1: recordFrameIntervals = True
35.1494 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
35.1494 	EXP 	window1: recordFrameIntervals = False
38.1555 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
39.2393 	EXP 	Created response = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='response', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
39.2497 	EXP 	Created thank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating', units='height', win=Window(...), wrapWidth=1)
39.2563 	EXP 	text: autoDraw = True
40.6662 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (17).
41.2951 	EXP 	window1: recordFrameIntervals = False
41.2964 	DATA 	Keypress: space
41.2989 	EXP 	text: autoDraw = False
41.2990 	EXP 	window1: recordFrameIntervals = False
43.3317 	DATA 	Keypress: d
44.2478 	EXP 	response: autoDraw = True
46.0998 	EXP 	window1: recordFrameIntervals = False
46.1006 	DATA 	Keypress: d
46.1023 	EXP 	response: autoDraw = False
46.1024 	EXP 	window1: recordFrameIntervals = False
49.0470 	EXP 	response: autoDraw = True
52.4163 	EXP 	window1: recordFrameIntervals = False
52.4172 	DATA 	Keypress: s
52.4190 	EXP 	response: autoDraw = False
52.4192 	EXP 	window1: recordFrameIntervals = False
55.3633 	EXP 	response: autoDraw = True
58.3486 	EXP 	window1: recordFrameIntervals = False
58.3496 	DATA 	Keypress: s
58.3514 	EXP 	response: autoDraw = False
58.3515 	EXP 	window1: recordFrameIntervals = False
61.2959 	EXP 	response: autoDraw = True
69.6963 	EXP 	window1: recordFrameIntervals = False
69.6972 	DATA 	Keypress: s
69.6988 	EXP 	response: autoDraw = False
69.6989 	EXP 	window1: recordFrameIntervals = False
72.6447 	EXP 	response: autoDraw = True
74.1132 	EXP 	window1: recordFrameIntervals = False
74.1141 	DATA 	Keypress: d
74.1159 	EXP 	response: autoDraw = False
74.1161 	EXP 	window1: recordFrameIntervals = False
77.0606 	EXP 	response: autoDraw = True
78.6283 	EXP 	window1: recordFrameIntervals = False
78.6292 	DATA 	Keypress: d
78.6309 	EXP 	response: autoDraw = False
78.6311 	EXP 	window1: recordFrameIntervals = False
81.5765 	EXP 	response: autoDraw = True
82.5794 	EXP 	window1: recordFrameIntervals = False
82.5804 	DATA 	Keypress: d
82.5820 	EXP 	response: autoDraw = False
82.5821 	EXP 	window1: recordFrameIntervals = False
85.5259 	EXP 	response: autoDraw = True
86.4779 	EXP 	window1: recordFrameIntervals = False
86.4789 	DATA 	Keypress: s
86.4807 	EXP 	response: autoDraw = False
86.4808 	EXP 	window1: recordFrameIntervals = False
89.4255 	EXP 	response: autoDraw = True
90.3122 	EXP 	window1: recordFrameIntervals = False
90.3129 	DATA 	Keypress: d
90.3145 	EXP 	response: autoDraw = False
90.3146 	EXP 	window1: recordFrameIntervals = False
93.2584 	EXP 	response: autoDraw = True
94.4597 	EXP 	window1: recordFrameIntervals = False
94.4607 	DATA 	Keypress: s
94.4626 	EXP 	response: autoDraw = False
94.4627 	EXP 	window1: recordFrameIntervals = False
97.4081 	EXP 	response: autoDraw = True
98.6268 	EXP 	window1: recordFrameIntervals = False
98.6277 	DATA 	Keypress: d
98.6294 	EXP 	response: autoDraw = False
98.6296 	EXP 	window1: recordFrameIntervals = False
101.5741 	EXP 	response: autoDraw = True
102.8266 	EXP 	window1: recordFrameIntervals = False
102.8275 	DATA 	Keypress: s
102.8293 	EXP 	response: autoDraw = False
102.8295 	EXP 	window1: recordFrameIntervals = False
105.7737 	EXP 	response: autoDraw = True
106.9758 	EXP 	window1: recordFrameIntervals = False
106.9766 	DATA 	Keypress: s
