stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,15.245952500030398,15.245952500030398,space,0.870350299985148,,,,,,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
0,40,90.0,,,,,1.0212866999791004,20.086544900026638,20.086544900026638,1,1.4974597999826074,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
1,40,90.0,,,,,1.0012352999765426,25.53579410002567,25.53579410002567,1,1.6537385000265203,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
2,40,90.0,,,,,1.0001435999874957,31.1516456999816,31.1516456999816,1,2.5460370000218973,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
3,40,90.0,,,,,0.9996461999835446,37.65087459998904,37.65087459998904,1,0.4142524999915622,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
4,40,90.0,,,,,1.000172099971678,42.01702450000448,42.01702450000448,0,3.9577526000211947,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
5,40,130.0,,,,,1.0008050999604166,49.932695500028785,49.932695500028785,0,3.2047541000065394,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
6,40,170.0,,,,,1.000201599963475,57.09863000002224,57.09863000002224,0,8.28397849999601,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
7,40,210.0,,,,,0.9998755000415258,69.34700549999252,69.34700549999252,0,2.8894717000075616,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
8,40,250.0,,,,,1.000879300001543,76.19611590000568,76.19611590000568,0,2.331550300004892,110045,001,2023-02-16_15h34.53.064,Adaptive_staircase_Diar,2022.2.5,60.21999568788598,
,,,,,,,1.0001707000192255,82.47841809998499,82.47841809998499,,,,,,,,,
