stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,22.383811100036837,22.383811100036837,space,2.171270299993921,,,,,,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
0,40,300.0,,,,,1.2504742000019178,27.083449800033122,27.083449800033122,0,0.7205251999548636,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
1,40,340.0,,,,,1.2028562999912538,30.332999800040852,30.332999800040852,1,1.3207214000285603,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
2,40,300.0,,,,,1.2022952000261284,34.18259500002023,34.18259500002023,1,0.8882004999904893,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
3,40,300.0,,,,,1.201947299996391,37.59858210000675,37.59858210000675,0,1.1847886000177823,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
4,40,340.0,,,,,1.2021013000048697,41.31473189999815,41.31473189999815,1,0.6283480999991298,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
5,30,340.0,,,,,1.2024302000063471,44.46479870000621,44.46479870000621,1,1.1083283000043593,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
6,30,310.0,,,,,1.2024015000206418,48.09746429999359,48.09746429999359,1,1.2494952999986708,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
7,30,310.0,,,,,1.202569599961862,51.86346120003145,51.86346120003145,1,0.48230579996015877,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
8,30,280.0,,,,,1.2030316999880597,54.86322780000046,54.86322780000046,1,0.822046399989631,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
9,30,280.0,,,,,1.20282840001164,58.195887300011236,58.195887300011236,1,1.580578199995216,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
10,30,250.0,,,,,1.2024616000126116,62.29604440002004,62.29604440002004,1,0.4104306999943219,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
11,30,250.0,,,,,1.201939399994444,65.22856630000751,65.22856630000751,1,0.7389018000103533,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
